id,article_id,comment,commented_by,posted_datetime
c51740,a000808,"Does it really matter what the actual threat is?  All you have to do is write into the plot that people panic and feel threatened (thus adding the drama). Terrorists break into water treatment plants and taint the water with the chemical sodium cloride, causing the boiling point to the raised.  Everyone's coffee, tea, and pasta takes longer to make, thereby slowing down the economy.",Andy,2006-04-01 13:04:00
c51742,a000808,"""Assume an attacker profile on the order of 9/11: 20 to 30 unskilled people, and about $500,000 with which to buy skills, equipment, etc."" Well, I can make it cheaper:  One Terrorists impersonates a son of a former US president, after some cosmetic surgery ($100.000). Hmm, I could stop here - the rest is clear, isn't it? Anyway, for the fun of it... The rest of money and a lot of influence get him 'elected', and he implements a foreign 'politics' which, with the moderate cost of x0.000++ lives from an al-Qaeda unfriendly muslim country (!), 
 - puts the US into war which cannot be won
 - berefts the US of many international alliances
 - costs HUGE amounts of money, human lives, misery, ...    Well, the plot ignores Afghanistan, I know. Also, the huge amount of money: did you ever think about where that money is going to, literally?  Consider what is payed with that money: its mostly bombs and airplanes and ships and bullets and rockets and and and.  So, the money goes to the producers of these.  Your war is so fucking expensive, since you move your tax money into your upper-10.000's bank accounts.  Doh,  I have no clue why americans actually think thats a good idea... I am getting distracted from the plot.  Actually, please don't make a movie out of it, its to close to fu...ing reality :-( Peace, Andre. PS.: Kudos to this blog (incl. its commentors) - I learn a lot here... ",Andre Merzky,2006-04-01 13:06:00
c51743,a000808,"I've always wondered why they always go after high-profile targets. Remember the whole country freaking out when that sniper was just targeting random people? Imagine if terrorists just started parking bombs outside of random, middle-class suburban houses... On a more humourous note, I also like an idea I saw on Crooked Timber a while back (http://crookedtimber.org/2006/03/04/the-men-who-knew-too-little/): ""Look to the man’s own site: 'Hugh Hewitt is the Jack Bauer of talk radio and the blogosphere.' This is actually a good idea for a show. ‘In the next 24 hours, terrorists will make a major strike against an American city. The only thing between all of us, and just a few of them … is a complacent, partisan hack.’""",Evan,2006-04-01 13:10:00
c51746,a000808,"plot 1: Nail fields on highway during a rush hour. Terrorists with a car spraying nails all around.
Attacks repeated daily for a few moths.
Massive disruptions due to traffic collapse.   plot 2: A massive saw placed across a highway.
A cutting chain would be spanning across the whole highway moving at a high speed and cutting all cars at bout head height. The whole saw apparatus would be autonomous and traveling around leaving behind path of destruction.  plot 3: Terrorists cyberattack a government infrastructure and send all money from military budget towards Education an health care while framing few politicians. Economy is disrupted as there is enormous amount of many spent.  A military coup ensues, because soldiers are not paid. A civil war starts. ",JR,2006-04-01 13:26:00
c58809,a000808,"maximum terror and economic destruction are different scenarios. the economic angle has already been covered quite well in the wall street CO scenario, and i hope that's a candidate for your best plot. it's very realistic and these localities of high infrasructure value are horribly exposed. no need to poison water supplies or taint oranges. just bomb the telecoms. for maximum terror, the perps should target random and well-dispersed localities across the US, be time-coordinated, with some targets chosen for maximum population density, while others are chosen to bolster the belief that even smaller towns aren't safe. don't target anything under 5,000 people, since no one will really care. use all 30 perps in a thoroughly randomized matrix so that target patterning is difficult to establish. the point of this approach would be to cause 'ordinary' people (as differentiated from the 'extraordinary' ones in larger metro areas which get more news coverage usually) to first sympathize with the helpless victims, but quickly fear for their own safety and begin to change their daily routines. terror is about being so frightened for what *might* occur, that you radically alter your way of life. i know on 9/11 i turned around and went home, not knowing if the large multinational i work for would be targeted. large-scale behavioral change is key. the terrorist approach should persist so long as the perps are alive and free to act, and should continue in random fashion, with similar modes of attack, such as shoe bombs, car bombs, etc. since bacterial or viral attacks are too far from the popular psyche to be 'real' enough. all attacks should be easily recognized as terrorist-originated, rather than random accidents. despite the public's general unfamiliarity with biological weapons, even a tiny bit of plutonium, however, properly dispersed, is astoundingly lethal, and would quickly waken an ignorant population to its vulnerability. this could be the coup de grâce or perhaps only the first attack. at some point not far into this terror strategy, the government would likely enact martial law, which would further disrupt the newly unsettled masses.",maximus,2006-05-17 22:05:00
c58811,a000808,i have a 'what have i done' feeling. can i retract that?,maximus,2006-05-17 22:12:00
c59099,a000808,"Resurrect General Lemnitzer and let him carry out ""Operation Northwoods"". Only this time, they would have had an additional 44 years to make some 'fine' adjustments to the plan.",Nick,2006-05-18 12:57:00
c51747,a000808,"Terrorist team posing as tour group takes over the Radio Astronomy Facility at Arecibo.  They hook up the Megawatt transmitter to the dish, put it in Interplanetary Radar mode (which can deliver 24 TW Equivalent Radiated Power in a narrow beam), and start frying communication satellites.  They take some pot shots at GPS satellites as well.  For extra credit, they black out the International Space Station, and maybe a Shuttle as well, assuming it has returned to flight and not crashed of its own accord.  The U.S. economy collapses, as advertisers can no longer peddle wares in proximity to ""American Idol"". Or. Terrorists posing as labor organizers foment a strike at UPS, and keep it going for months, taking tens of G$ out of the U.S. economy, which collapses on cue. ",Carlo Graziani,2006-04-01 13:34:00
c51748,a000808,"Geez, what's everybody thinking?  Take 30 suicide bombers, have them go into 30 Walmarts around the country on a Saturday morning around Christmas, and blow up at the checkout lines. Now that's a terror plot - it's personal because there a Walmart in every town, and it would affect the economy because people would be afraid to go shopping. I don't now how great a movie it would be - and wouldn't be great product placement for Walmart.",Chris,2006-04-01 13:41:00
c51749,a000808,"So, supposedly, one of these days the Cumbre Vieja volcano on the island of La Palma will erupt, dropping a huge chunk of the island into the ocean.  This will, the theory goes, cause a mega tsunami that will engulf the east coast of the U.S., with predictable movie disaster results. You can read all about it here. Anyway, why wait?  Spend your $500k on a lot of explosive and place a charge in just the right spot to trigger the island ahead of schedule.  Now, depending on the subgenre of the movie, you might try to actually trigger the volcano (kind of sci-fi), or maybe you'd try to buy an old Soviet warhead and smuggle it to the island (more James Bond), or maybe you'd just use a lot of high power conventional explosives. just the right spot Of course, I'm fairly certain that in real life you can't buy enough explosive to create a big enough bang to make this work for only $500k.  But what do I know?",Michael Higgins,2006-04-01 13:43:00
c51751,a000808,"Okay, the link didn't work on my La Palma post above.  Here it is: http://www.exitmundi.nl/tsunami.htm",Michael Higgins,2006-04-01 13:44:00
c51752,a000808,"Cleverly disguised explosive devices smuggled into the Indy 500 stands, to be detonated while the race is underway. Lots of VIPs, lots of people, and an attack at one of the most ""American"" events in the world, and one with a lot of love in the american cultural psyche.",Matt Wagner,2006-04-01 14:00:00
c51754,a000808,And before someone asks about the economic affects...ask someone how much Indianapolis is geared around the race? It's a pretty scary amount. Plus the VIPs of various corporations being smoked.,Matt Wagner,2006-04-01 14:03:00
c51756,a000808,"come on... ""geeks"" we may be, but let's at least try. Byword: we thought we would get mars, all we got was death. The year is 2027; President bush the 3rd is near the end of her first term in office; the completion of the base on Mars is due just in time to help the election.   At the same time a Gonzales comet is due to pass close to earth, being slightly deflected to demonstrate the American ability to do it. Terrorists manage to get on the American mission to Mars.  They stick with the mission until a month into space (on the far side of the sun).  They kill the other members of the mission and then redirect the rocket slightly.  They blame the loss of crew and deflection on an explosion when the get back into radio contact. To save the missin they agree they need fuel from the deflector rocket, so the arrange to meet up with it and take control of it. By setting the deflector rocket off course; instead of directing the comet away from earth, the terrorists direct it towards Yellowstone.  The combined effects of the comet and the super-eruption of the magma under Yellowstone it causes totally destroy America; 90% of the population of the Northern hemisphere and 70% of the population of the rest of the world. Taking advantage of the disruption, the terrorists co-conspiritors, who have previously set up a base with nuclear and biological weapons in the remote southern jungles of New-Zealand, manage to impose a reign of terror on the world which lasts for a thousand years. If this entry gets the prize, it and the copyright of the idea, may be claimed by the first person who can generate a file with a length between 25000 and 25200 bytes and with the SHA1 sum: a5fb1f73dd3bf0e2369d33d12c87afd539fb050d",moz,2006-04-01 14:15:00
c51757,a000808,"Further comment to my idea.. The terrorists are, of course fanatics brought up in America, who have used their money to further their education so that they can become astronauts and use NASA's resources to attack the civilised world.",moz,2006-04-01 14:22:00
c51761,a000808,"Sleeper magicians from Chile planted in cities all over America start doing their magical rain dances. Rain won't stop for several weeks causing horrible floods. Thousands drown. Epidemic strikes and hundreds of thousands die. Millions lose their home. After the magicians have been identified and arrested, the president signs a law requiring every city to be covered by a roof. Dancing is outlawed.",honk,2006-04-01 14:38:00
c51767,a000808,"A team of 5 terrorists manage to infiltrate the SETI @Home project.  There actually is an alien civilisation which is trying to communicate with us, but they manage to intercept the message, so nobody else realises. The aliens turn out to actually be related to humans and are transmitting their advanced science and technology in their message.  Included in this are instructions mind control.  The terrorists use the mind control technology to take over the Chinese and American military and start world war III.  (large scale destruction ensues) Alternatively the terrorists use a computer virus to spread their mind control technology and mass convert most of the population to their fanatical religion.  Western civilisation completely ceases to be.  Everybody resisting conversion is massacred. same claim rules as first moz post.",moz,2006-04-01 14:56:00
c51768,a000808,"C'mon people, most of these are lame. Think about trust boundaries, fear, and economic harm. Then add humor. Political flavor-of-the-month helps. How about 30 illegal immigrants roam through the south as temporary farm hands, intentionally infecting cows with Creutzfeldt-Jakob disease. After a season of doing so, the announce that fact via a massive spam campaign.",fishbane,2006-04-01 14:57:00
c51769,a000808,"The terrorists go to stock car mechanic school, get hired by Chevrolet, and slip a nuclear device into Jeff Gordon's car just before the Daytona 500. Alternatively, the terrorists poison the world's supply of Jeff Gordon chardonnay.
http://www.jeffgordon.com/news/fullstory.sps?iNewsid=311514&iType=12216&icategoryid=1126 ",Dan Lewis,2006-04-01 14:57:00
c51788,a000808,"The one I always worry about is a suicide bomber in the sometimes crowded lines leading to the security screeners in an airport.  I'm certain that with proper planning, someone could even drop off a largish bomb and leave, with no one the wiser.  To spice it up, a bomber could steal the explosives from some poorly guarded construction sites.  You know, a rash of thefts at construction sites around a city - or, better yet, cover up the thefts with explosions that most people would think were caused by arsonists. (Shouts out to my peeps in domestic surveillance!)",Matthew X. Economou,2006-04-01 16:31:00
c51771,a000808,"Trained lab rats are dropped in foam rubber balls from a low-flying Army Surplus UAV, eat their way out and roam the streets of Hollywood looking for A-list stars. When a rat attacks, it bites the ankle of the star, breaking a false tooth and releasing ricin into the blood of the victim. A civil-rights vigilante prints a million leaflets with instructions on how to pass a lie-detector test and distributes them from a rented light aircraft over Washington DC, thus rendering the CIA helpless against infiltration by terrorists. Acting on verified instructions from Langley, a CIA Special Operative kills the President, believing him to be a terrorist in disguise. Damn those America-hating Liberals! An Al-Qaeda h4xx0r breaks into the TSA computer system and puts the entire New York telephone directory on the No-Fly list. A hospital gamma-radiation machine is stolen and a limpet-mine attached to the radio-isotope chamber. An hour before the timer detonates the mine, the device is dropped from the back of a boat into a major water supply reservoir. Boom - and the reservoir is contaminated. Later, the terrorists announce that they contaminated two reservoirs, revealing the real one to show they aren't bluffing. You do realise that the TLAs have powerful search engines, but no sense of humour. See you in Guantanamo, Bruce.",Terry Browning,2006-04-01 15:11:00
c51772,a000808,"Terrorists buy ice-cream trucks, and poison the ice cream with something particularly slow-acting and nasty, maybe a heavy metal. Each truck is also rigged as a bomb and at the first sign of investigation into the poisonings, they all find themselves crowds of children to blow up in a suicide finale. This happens across America in both large cities and fairly small towns.",Kieran,2006-04-01 15:14:00
c51773,a000808,"Two dozen dedicated religious fundementalist terrorists use half a million to set up a small research institute and lobbying organisation, and apply for funding from national and international bodies. They spend their time producing reports on issues like energy, security, and social policy, based upon bad science, paranoia, and bad taste which they know will have terrible consequences, but which are in accord with business and petty pork-barrel political interests at the time of publication, ensuring continued cash-flow. Based upon their success they destabilize the US economy and the entirity of western civilization on a hundred to two hundred year year timescale.",dan,2006-04-01 15:24:00
c51774,a000808,"Terrorists around the world start robbing, hacking and then blowing up foreign banks that buy USA bonds. Soon, no banks will buy our debt. Without a balanced budget, the US government collapses. Chaos ensues. Without their pay coming in, firefighters and policemen join in the rioting. The Armed Forces have no supplies to enforce martial law. The moral of the story? We have to start fighting terrorism all over the world, even within the borders of our closest allies. We have to station troops anywhere the US does business.",Ben W.,2006-04-01 15:32:00
c51775,a000808,"Inside Job - George Bush III decides to seize power by nuking San Francisco, blaming muslims, suspending the constitution and imprisoning all Democrat voters. The unlikely bit of the plot is that Usama Bin Laden converts to christianity and saves the day by diverting the bomb to blow up Mecca.",Switch,2006-04-01 15:33:00
c51777,a000808,"Terrorists buy their way into key official roles in oil producing countries and keep prices artificially low.  Americans continue to consume increasing amounts of fossil fuels compounding global warming.  The polar ice caps melt as sea levels rise, flooding coastal cities.  Unable to cope with massive natural disasters, the government fails to respond, instead claiming that no one could have expected the sea levels to rise.  Millions of displaced Americans petition the government to impeach the entire line of succession from President on down and call for new elections. Separately a second terrorist group has created a company that develops electronic voting machines, now widely deployed.  During the election, all the machines cast votes for fundamentalist groups who have been raising American born religious fanatics the past 40 years.  The government is taken over by religious fundamentalists who foster mass fear, slowly take away civil rights and creating a totalitarian regime.",Living it,2006-04-01 15:49:00
c51779,a000808,"After a shocking and bold attack by terrorists, Congress approves unprecedented emergency powers for President Bush, who declares himself Emperor and renews construction of the Robust Nuclear Earth Penetrator, the burrowing bunker-buster bomb. Unfortunately, since the contract is in the hands of Halliburton, it bankrupts the American economy, even after a desperate measure to outsource development to India. Members of the media are exposed as traitors, having failed to report the real facts of Halliburton's malfeasance and the shadowy link to a prominent member of the administration. We can save millions on casting by having the current batch of inept blockheads portray themselves - Bush, Condi, Rumsfeld, et al. Forget hiring Dale Dye as a consultant, because We All Know Bush is being advised by military experts. ==== Alternatively, terrorists take a long-term view and patiently infiltrate cell members into the personnel of nuclear and chemical plants. Then, in a coordinated masterstroke, precisely timed, they all spill their Diet Cokes on the control consoles.",Nick Lancaster,2006-04-01 15:52:00
c51780,a000808,"Terrorists mint and distribute a batch of slightly radioactive 'dirty' coins. Despite experts' assurances that the only danger is a minute chance of health problems in people who constantly carry a large number of these coins in their pockets, and despite that nearly all of them are removed from circulation almost immediately, the public panics. Many citizens and businesses refuse to use or accept change for anything, causing widespread economic disruption. Billions are spent equipping banks with detectors which report millions of false positives. Suspicious looking people are detained for questioning for using vending machines. Homeless people are arrested for collecting change (just because.)",Ten Staples,2006-04-01 15:53:00
c51782,a000808,"Plot 1: Terrorists buy some Smallpox from a russian scientist working at Vector in need of cash. The virus is smuggled into the US by some infected terrorists. In an ad-hoc but adequate level 3 lab in some mid-western basement, the virus is harvested from the dying martyrs, multiplied and stockpiled. Eventually, terrorists infect themselves and travel across the US, attending sporting events, museums, and republican fund-raisers, sometimes for added effect spraying concentrated virus onto toilet seats. (Loosely adapted from Tom Clancy's ""Executive Orders"".) Plot 2: Small teams of terrorists travel across the country, and cut into electrical transmission towers -- just so that they don't topple immediately. This allows the teams to continue unnoticed over weeks, weakening thousands of towers. They will tip over during the next storm, creating massive power outages. Parts of the country will be crippled for months, thanks to careful research into the weak points of the national grid, e.g., cutting off all power flowing into the Denver metropolitan area. Each team only needs a four-wheel drive pickup truck, a generator, and a grinder -- and they'll be long gone before anyone notices.",FP,2006-04-01 16:13:00
c51783,a000808,Terrorists sneak a bottle of VX gas  (or sarin if it's on sale) in with the helium used to fill the  Goodyear (or Metlife's Snoopy 1) blimp. They then hijack said blimp and crash it into a unsuspecting football stadium killing thousands.,Mark Denovich,2006-04-01 16:16:00
c51789,a000808,"1. Terrorists get publicly-available maps of all major fiber optic lines. 2. All phone companies merge back into one big phone company. 3. Phone company settles harassment suit against fiber optic repair supervisor; sends all fiber repair and installation crews to Mandatory Sensitivity Training. 4. Terrorist Team A plants small explosives in manholes. 5. Terrorist Team B invades the conference center where Mandatory Sensitivity Training is being held, puts vest bombs on all the fiber repair people, tells them that if the phones and the Internet come back up the bombs will go off, turns them loose to ""fix"" the damage caused by Team A. The hero is a repair guy who is also a ham radio operator and uses ""old school"" technology that the terrorists aren't monitoring.  And Kung Fu.",Don Marti,2006-04-01 16:33:00
c51790,a000808,"Terrorists acquire a few class IIIb lasers (http://www.repairfaq.org/sam/laserlps.htm#lpstoc).   They leave vans parked around public places set up to turn on the lasers and swing them around, at eye level, at a preset time; alternatively, they actively drive them through places that lots of people are going to be looking at - Golden Gates bridge near sunset, etc. Alternatively, they buy things like http://www.biglasers.com/site/1589403/product/532-115-S  and sell them on for a few dollars each in popular nightclubs.",MoonShadow,2006-04-01 16:33:00
c51791,a000808,"Well, for effectiveness, phased suicide attacks against soft targets intermixed with some 'hoax' attacks would be undefendable and would cause mass panic. That's not sufficiently unlikely, though. So... the terroists contaminate condoms with ricin. Sporadic, random deaths. A significant decrease in condom sales - leading to a significant increase in both venereal diseases and pregnancies, first damaging abstinence programs but eventually strengthening them as people start to fear sex. The population starts to decline, taking the economy with it, but the Boomers refuse to compromise their retirement benefits and the country goes bankrupt.",Russ,2006-04-01 16:47:00
